Datetime,open,high,low,close
2021.04.01 00:00,1.172430,1.172660,1.172430,1.172550
2021.04.01 00:01,1.172560,1.172610,1.172550,1.172610
2021.04.01 00:02,1.172600,1.172610,1.172590,1.172600
2021.04.01 00:03,1.172610,1.172620,1.172610,1.172620
2021.04.01 00:05,1.172640,1.172680,1.172550,1.172560
2021.04.01 00:06,1.172550,1.172580,1.172510,1.172520
2021.04.01 00:07,1.172520,1.172580,1.172520,1.172580
2021.04.01 00:08,1.172580,1.172580,1.172510,1.172510
2021.04.01 00:09,1.172520,1.172560,1.172510,1.172560
2021.04.01 00:10,1.172550,1.172610,1.172550,1.172560
2021.04.01 00:11,1.172560,1.172560,1.172520,1.172530
2021.04.01 00:12,1.172540,1.172570,1.172520,1.172520
2021.04.01 00:13,1.172520,1.172560,1.172500,1.172520
2021.04.01 00:14,1.172510,1.172510,1.172490,1.172510
2021.04.01 00:15,1.172500,1.172510,1.172400,1.172460
2021.04.01 00:17,1.172450,1.172460,1.172450,1.172460
2021.04.01 00:18,1.172460,1.172470,1.172410,1.172420
2021.04.01 00:19,1.172430,1.172430,1.172410,1.172420
2021.04.01 00:20,1.172420,1.172470,1.172410,1.172440
2021.04.01 00:21,1.172420,1.172450,1.172410,1.172410
2021.04.01 00:22,1.172410,1.172410,1.172350,1.172350
2021.04.01 00:23,1.172340,1.172350,1.172300,1.172310
2021.04.01 00:24,1.172310,1.172380,1.172300,1.172350
2021.04.01 00:25,1.172350,1.172370,1.172350,1.172350
2021.04.01 00:26,1.172360,1.172470,1.172350,1.172450
2021.04.01 00:27,1.172440,1.172460,1.172400,1.172450
2021.04.01 00:28,1.172450,1.172450,1.172400,1.172450
2021.04.01 00:29,1.172450,1.172450,1.172350,1.172350
2021.04.01 00:30,1.172340,1.172400,1.172340,1.172360
2021.04.01 00:31,1.172350,1.172410,1.172350,1.172410
2021.04.01 00:32,1.172420,1.172420,1.172350,1.172350
2021.04.01 00:33,1.172350,1.172370,1.172300,1.172360
